event1,eid1,event2,eid2,signal,annotation,Doc name,Doc ID,sentence
lost,e84,dissipated,e83,block,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"What that generates is a design which flexes when the earthquake strikes, the energy of the earthquake is dissipated through the many framing elements of the building, and the energy is lost in the friction between the timber and the stone infill....A concrete-block building which is n't able to flex is more apt to collapse...."
held,e2,enslaved,e1,hold,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even before her 18th birthday, Maria had already been enslaved by a gang of human traffickers and held in captivity for four months in her homeland of Mexico."
enjoying,e43,kept,e39,keep,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even though the girl was on fire they kept hitting her and they were laughing as if they were enjoying what they were doing. """
enjoying,e43,laughing,e41,keep,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even though the girl was on fire they kept hitting her and they were laughing as if they were enjoying what they were doing. """
enjoying,e43,hitting,e40,keep,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even though the girl was on fire they kept hitting her and they were laughing as if they were enjoying what they were doing. """
kept,e39,laughing,e41,keep,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even though the girl was on fire they kept hitting her and they were laughing as if they were enjoying what they were doing. """
kept,e39,hitting,e40,keep,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even though the girl was on fire they kept hitting her and they were laughing as if they were enjoying what they were doing. """
laughing,e41,hitting,e40,keep,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"Even though the girl was on fire they kept hitting her and they were laughing as if they were enjoying what they were doing. """
tried,e50,falling,e52,block,0,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"Many of our staff have tried to leave, but were unsuccessful because the walls from buildings and private residences are falling into the streets, so that it has pretty much blocked significantly most of the traffic. """
tried,e50,blocked,e53,block,0,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"Many of our staff have tried to leave, but were unsuccessful because the walls from buildings and private residences are falling into the streets, so that it has pretty much blocked significantly most of the traffic. """
