sentence,event1,event2,signal,Doc name,Doc ID 
reported,made,warrant,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Details of the warrant were never made public ; the warrant was reportedly later dropped."""
reported,dropped,warrant,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Details of the warrant were never made public ; the warrant was reportedly later dropped."""
made,dropped,warrant,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Details of the warrant were never made public ; the warrant was reportedly later dropped."""
allow,issued,warrant,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,British legal rules allow arrest warrants to be issued by a court independent of ministerial approval.
allow,issued,allow,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,British legal rules allow arrest warrants to be issued by a court independent of ministerial approval.
revoked,reported,warrant,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"The arrest warrant was revoked once it was clear Livni was not in Britain, the BBC reported."
want,wanted,let,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"I wanted to look away, but they did n't let me."
want,look,let,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"I wanted to look away, but they did n't let me."
wanted,look,let,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"I wanted to look away, but they did n't let me."
signed,led,enable,2010.02.26.census.redistricting.tml,2010.02.26.census.redistricting,"Elected in 1810, he signed an obscure redistricting bill that enabled greater and perhaps disproportionate Republican representation in the Massachusetts legislature."
signed,Elected,enable,2010.02.26.census.redistricting.tml,2010.02.26.census.redistricting,"Elected in 1810, he signed an obscure redistricting bill that enabled greater and perhaps disproportionate Republican representation in the Massachusetts legislature."
signed,enabled,enable,2010.02.26.census.redistricting.tml,2010.02.26.census.redistricting,"Elected in 1810, he signed an obscure redistricting bill that enabled greater and perhaps disproportionate Republican representation in the Massachusetts legislature."
signed,represent,enable,2010.02.26.census.redistricting.tml,2010.02.26.census.redistricting,"Elected in 1810, he signed an obscure redistricting bill that enabled greater and perhaps disproportionate Republican representation in the Massachusetts legislature."
led,Elected,enable,2010.02.26.census.redistricting.tml,2010.02.26.census.redistricting,"Elected in 1810, he signed an obscure redistricting bill that enabled greater and perhaps disproportionate Republican representation in the Massachusetts legislature."
led,enabled,enable,2010.02.26.census.redistricting.tml,2010.02.26.census.redistricting,"Elected in 1810, he signed an obscure redistricting bill that enabled greater and perhaps disproportionate Republican representation in the Massachusetts legislature."
led,represent,enable,2010.02.26.census.redistricting.tml,2010.02.26.census.redistricting,"Elected in 1810, he signed an obscure redistricting bill that enabled greater and perhaps disproportionate Republican representation in the Massachusetts legislature."
Elected,enabled,enable,2010.02.26.census.redistricting.tml,2010.02.26.census.redistricting,"Elected in 1810, he signed an obscure redistricting bill that enabled greater and perhaps disproportionate Republican representation in the Massachusetts legislature."
Elected,represent,enable,2010.02.26.census.redistricting.tml,2010.02.26.census.redistricting,"Elected in 1810, he signed an obscure redistricting bill that enabled greater and perhaps disproportionate Republican representation in the Massachusetts legislature."
enabled,represent,enable,2010.02.26.census.redistricting.tml,2010.02.26.census.redistricting,"Elected in 1810, he signed an obscure redistricting bill that enabled greater and perhaps disproportionate Republican representation in the Massachusetts legislature."
allow,threatened,allow,2010.03.22.africa.elephants.ivory.trade.tml,2010.03.22.africa.elephants.ivory.trade,"A petition from the two African countries to remove elephants from a list of animals "" threatened with extinction "" to allow trade in other parts of the animal was also thrown out."""
allow,thrown,allow,2010.03.22.africa.elephants.ivory.trade.tml,2010.03.22.africa.elephants.ivory.trade,"A petition from the two African countries to remove elephants from a list of animals "" threatened with extinction "" to allow trade in other parts of the animal was also thrown out."""
threatened,thrown,allow,2010.03.22.africa.elephants.ivory.trade.tml,2010.03.22.africa.elephants.ivory.trade,"A petition from the two African countries to remove elephants from a list of animals "" threatened with extinction "" to allow trade in other parts of the animal was also thrown out."""
sell,permitted,permit,2010.03.22.africa.elephants.ivory.trade.tml,2010.03.22.africa.elephants.ivory.trade,"But in 1997 and 2002 it permitted Botswana, Namibia, South Africa and Zimbabwe to sell limited stocks of ivory to Japan, in recognition of the fact that some southern African elephant populations were healthy and well managed."
sell,managed,permit,2010.03.22.africa.elephants.ivory.trade.tml,2010.03.22.africa.elephants.ivory.trade,"But in 1997 and 2002 it permitted Botswana, Namibia, South Africa and Zimbabwe to sell limited stocks of ivory to Japan, in recognition of the fact that some southern African elephant populations were healthy and well managed."
permitted,managed,permit,2010.03.22.africa.elephants.ivory.trade.tml,2010.03.22.africa.elephants.ivory.trade,"But in 1997 and 2002 it permitted Botswana, Namibia, South Africa and Zimbabwe to sell limited stocks of ivory to Japan, in recognition of the fact that some southern African elephant populations were healthy and well managed."
meeting,permitted,permit,2010.03.22.africa.elephants.ivory.trade.tml,2010.03.22.africa.elephants.ivory.trade,Five years later at a CITES meeting at The Hague further sales of stockpiled ivory were permitted in return for a nine-year moratorium on further sales.
get,know,let,2010.03.23.how.get.headhunted.tml,2010.03.23.how.get.headhunted,"Trade publications are a good place to start and Ispahani said letting your company's PR or marketing department know you are interested in contributing to industry journals can help get things moving."""
