sentence,event1,event2,signal,Doc name,Doc ID 
"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",has,acceptances,schedule,wsj_0169.tml, WSJ891102-0021 
"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",has,sweetened,schedule,wsj_0169.tml, WSJ891102-0021 
"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",has,completion,schedule,wsj_0169.tml, WSJ891102-0021 
"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",has,scheduled,schedule,wsj_0169.tml, WSJ891102-0021 
"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",has,offer,schedule,wsj_0169.tml, WSJ891102-0021 
"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",acceptances,sweetened,schedule,wsj_0169.tml, WSJ891102-0021 
"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",acceptances,completion,schedule,wsj_0169.tml, WSJ891102-0021 
"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",acceptances,scheduled,schedule,wsj_0169.tml, WSJ891102-0021 
"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",acceptances,offer,schedule,wsj_0169.tml, WSJ891102-0021 
"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",sweetened,completion,schedule,wsj_0169.tml, WSJ891102-0021 
"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",sweetened,scheduled,schedule,wsj_0169.tml, WSJ891102-0021 
"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",sweetened,offer,schedule,wsj_0169.tml, WSJ891102-0021 
"The sweetened offer has acceptances from more than 50% of Weisfield's shareholders, and it is scheduled for completion by Dec. 10.    ",completion,scheduled,schedule,wsj_0169.tml, WSJ891102-0021 
